mes,Alto Extremadura,Arturo Soria,Avda de Moratalaz,Barajas Pueblo,Barrio del Pilar,Campo de las Naciones,Carlos V,Casa de Campo,Castellana,Cuatro Caminos,Cuatro Vientos,El Pardo,Embajada,Ensanche de Vallecas,Escuelas Aguirre,Farolillo,Glorieta Fdez. Ladreda,Gregorio Marañón,Méndez Álvaro,Paseo de Recoletos,Plaza Manuel Becerra,Plaza de España,Plaza del Carmen,Pza de Castilla,Ramón y Cajal,Sanchinarro,Santa Eugenia,Tres Olivos,Urbanización Embajada II,Vallecas,Villaverde
2012-01-01,58.06540783595817,59.49777994051011,58.94296889189468,54.2438547613575,59.69962305182344,57.32929668049776,67.8,45.41214904526945,62.67464762674774,60.173189457959964,60.913619524148885,51.30375337173192,58.00001423796564,58.73441357568229,67.09996215993844,50.00902625924725,63.06535390445009,67.41557094445248,49.12723021481492,65.79656491145268,61.04628555138752,64.89990749394843,58.20973221394209,62.90757923926664,66.49178559928939,55.55015739810958,61.79996372945691,52.07563149292015,50.94587454007114,54.340066360023464,52.200026700919224
2012-02-01,58.35960398928346,60.076661354063056,59.14453883654622,54.52667535301215,59.95235820962539,57.38904284232355,67.8,45.42302755481676,63.06314497055172,60.20226187964156,60.969766833452105,51.23389009623358,58.18181835336447,58.95337794243668,67.33455166474359,50.63695288453574,63.15624374069357,67.71400453509533,49.482144352147266,65.831805367651,61.05326842970714,64.85951922479468,58.859826830239875,62.92450344687397,66.92072385631641,55.39173213046285,61.96366222564396,52.05369835997331,51.01368974243984,54.6147724202705,52.545485669709834
2012-03-01,57.691197601551536,58.942766661446456,58.632005527500716,54.50366476394021,59.02712811139843,57.6028778475103,67.8,45.443797279268594,62.33318008202637,60.258171404455894,60.92441839170824,51.13409537409986,57.21817937787666,57.71861324904143,65.53455651118448,50.51698628186854,63.180682304775665,67.05351218887965,49.26584967650234,65.85757899191543,61.04634353384521,63.959519817746056,58.25080602437353,62.93625841240523,65.45658073377733,53.91246392184747,61.36366996755975,51.98012583558105,51.09566625576632,53.865965601054135,51.963663514060144
2012-04-01,56.919465200479834,58.11570955261649,58.455949629367886,53.6399094896473,58.61733582075482,57.53187060088169,67.8,45.471359306475904,61.4692341389066,60.27984454827766,60.648546437097885,51.08025343805689,56.618179282144006,56.90865434652996,65.47273587657803,50.66349224459701,63.1839663129638,65.78553267077085,49.57555373027832,65.86054846248135,61.06631887444534,63.8413456065891,57.835576410275486,62.95189582828118,65.2163660045858,53.014736858804085,61.23632845301267,51.956889343262546,50.745573103229134,53.460988600607166,52.75457216677572
2012-05-01,56.989720893602154,58.076518405562524,58.26548881845277,52.86226086698451,58.75781375785812,57.205715890573096,67.8,45.482645713411145,61.02172485376912,60.28065076634655,60.61699125298426,50.96979514730381,57.127262796172985,57.42343650872468,66.47273585431506,51.43349117515543,63.18669203975995,66.02833985640353,50.50956834388796,65.86331007010766,61.09669742076744,63.4275443006353,58.66363545876302,62.96137686999837,65.76305770137981,52.88982587085754,61.49999160811977,52.14339143371641,50.593520937808314,53.877337470288595,54.00911614528374
2012-06-01,56.969260488106194,58.413612705202524,58.39110802818816,53.25178359291197,59.408295680211076,57.16871532887251,67.8,45.49581925627703,61.204559102220486,60.29342473569268,60.34594693854449,51.16074226342394,57.815145824633255,57.33228862905763,66.62121897123984,51.33571854003947,63.12095439300076,66.16990507122,51.13345043732375,65.83787836520013,61.11012675606768,63.82450356988161,59.430585335351076,62.99876310129839,65.89487672964546,52.972657685053015,61.784817749988925,52.36280791793865,50.59637172517266,54.4688937774702,55.03942708760533
2012-07-01,56.80525321997175,57.68075147597095,57.53764329451049,53.10088925331273,59.15067258941421,57.21466496376713,67.8,45.51386106371426,60.66689764617129,60.29768774626497,60.51108142849057,51.721771542836436,57.67878832437774,56.3273079436997,65.36667297462097,51.058777468594606,63.01539214619063,65.76178628992233,50.90024619579148,65.78622687963612,61.03081027777888,63.615427039079954,59.32306523569654,63.0027754702854,64.88332159829032,52.27633497256792,61.648507092877466,52.57659362173644,51.169968166096695,54.4940706552486,54.1212373376507
2012-08-01,55.34761594074314,56.37025733594017,56.310089773676786,52.14541915181559,58.301145139652185,56.544532226448624,67.5,45.53572245307711,59.6529666089216,60.26178023641437,59.658878499971706,51.94676408798406,55.606053985397004,55.231092848681286,63.721212228420995,49.850707404094024,62.85977548133822,64.61744901202879,49.40876627153958,65.6331909980616,60.792804941667626,62.96997008980152,58.18947877432274,62.99474771558255,62.66293808660177,51.00034621530319,61.01213944392993,52.32238147143288,51.09518217301415,53.3516755202626,52.86669442631144
2012-09-01,56.900659132348345,57.87717433911684,57.92287183792051,53.21804225707122,59.716414597810854,55.5139459471916,66.5,45.55636522854634,61.29787322335625,60.17530902695779,58.7106074749901,51.844008347747724,57.13000825034942,57.16046143815277,65.2999925263026,50.760595309452825,62.61161364951072,66.50933282667613,50.001584093388985,65.62386762819729,60.80674029925083,63.85029045638061,59.44667297233591,63.00880023842672,65.06425677007977,53.42494113397351,58.200042350884914,51.735890844717346,50.78930201688793,54.38214728502185,53.40002883320696
2012-10-01,57.223571462349696,59.02815209162678,58.52963554716483,53.52753387641839,60.48136997352141,55.85906486567454,67.9,45.56480157626088,61.83406771251465,60.20029666587948,59.41871261624653,51.971886427765746,58.13000872029367,58.14169683877052,65.99999544178566,50.41842882337836,62.5926393290939,67.12505758446729,49.61297282610333,65.65719689422347,60.870864060348225,64.47030606449877,59.41892368483824,63.02271223604245,65.99627678914594,54.74121591466793,36.70005382542861,51.81248249974932,50.83800912945725,54.52367999623215,53.19002641762522
