mes,Alto Extremadura,Arturo Soria,Avda de Moratalaz,Barajas Pueblo,Barrio del Pilar,Campo de las Naciones,Carlos V,Casa de Campo,Castellana,Cuatro Caminos,Cuatro Vientos,El Pardo,Embajada,Ensanche de Vallecas,Escuelas Aguirre,Farolillo,Glorieta Fdez. Ladreda,Gregorio Marañón,Méndez Álvaro,Paseo de Recoletos,Plaza Manuel Becerra,Plaza de España,Plaza del Carmen,Pza de Castilla,Ramón y Cajal,Sanchinarro,Santa Eugenia,Tres Olivos,Urbanización Embajada II,Vallecas,Villaverde
2020-01-01,53.81915671550826,54.76820958855416,56.5,52.20660581179464,57.123658766836336,55.736468256665326,67.80003295441266,45.3,58.57555731678172,59.609051462693245,60.01555538509124,49.80328498453365,58.79999069212109,56.83187072516638,64.1,49.812176555880285,60.82761394790711,65.21850879807832,47.96187379644011,61.01217260008545,58.55332517886356,60.10335535556528,56.72662832920596,62.5504152617594,65.6,52.54480992636062,64.99631632380098,49.29026886891968,51.62049529605136,53.51115876202869,52.00903214041793
2020-02-01,54.94942559634135,54.812527492668615,56.5,52.86985116705886,57.71182938341816,55.74910357409867,68.23329284098418,45.3,60.34860311198692,61.16644312277367,60.73088876956386,49.84312073530696,59.36664783150066,58.1615862948924,64.1,51.358551804258354,60.944680971553616,66.89549670226778,48.932279390465816,61.057050874084595,58.82852713593631,60.05514026829953,59.49917236474435,63.249026913161636,65.6,53.56906590316558,66.06391822040351,49.61602047251414,51.975328776973356,54.450813162509135,53.03789692201017
2020-03-01,54.05074258249154,54.85040221774192,56.2,52.27284204452249,57.85591469170908,55.73361253835768,66.09998482654778,44.5,59.12728764024992,59.013316375865614,61.2916221386947,49.67096469854161,57.100014656687634,56.855522700357824,63.1,50.231609460351905,61.039553303544864,65.89968102794684,47.270317915953974,61.09248036534375,58.3176806233116,60.007034409942314,57.06968463736388,62.140830879155445,65.3,51.91389487034561,65.50627553793441,49.91913678746159,51.32758548201308,52.078577554335105,51.25895617959649
2020-04-01,51.85837451861241,54.841898195564504,54.2,50.18285081937491,56.12795734585454,55.70227641297411,62.0999658829338,44.5,56.66681772166418,55.068178166052505,60.18413549708629,49.38741646361453,52.7334546332159,54.17882873576529,58.8,48.529069653738794,60.90378457229673,62.85048143790753,45.87738936373715,61.083555561690304,57.30543727371682,59.95852381087749,52.70210318735526,59.393691638318174,60.6,49.901978011549176,64.09634533543874,49.501692165718495,49.1611722253234,48.30764160718149,48.63206209685261
2020-05-01,52.49061107567427,54.78547921360886,53.2,49.642946574189885,53.71397867292727,55.67525364884437,59.66667075854923,43.4,55.45013185054116,53.599930418844366,58.17889484796039,49.223045640433796,49.2667578277217,53.63414286658338,54.3,48.3197186938721,60.56051965223596,61.132011458378635,46.89609250518146,61.0767200060734,57.136132328024786,59.759841277672066,51.20984514134883,58.29743237420809,56.2,49.924563130055304,62.92229086725762,48.871387575889166,46.45190477858409,47.31139648417048,48.69003266497958
2020-06-01,52.97544008173863,54.75362442147277,53.9,49.45453342334071,53.80698933646363,55.669501112355924,61.666664825102636,43.9,56.12443987267908,55.098607404497905,57.55522639357227,49.3968933584121,51.66668893442075,54.39085449524108,57.5,48.85999557201971,60.41628327657944,61.47103000744594,49.649021765893366,61.042952806012664,57.51146056929884,60.01152453882395,52.989011065591065,59.31423408566124,59.5,50.618070901598195,63.50838725336048,48.678537812229116,47.52349524243186,50.71100504048874,51.77692570238147
2020-07-01,53.43977287134886,54.761088177258046,55.8,49.60905577223739,55.503494668231816,55.66580610123236,63.79998845493763,44.8,55.607438642893335,55.658016805407556,58.58865847550058,49.5570486904915,53.90005155978308,54.45585499266525,62.2,49.30177511912783,60.46414344721889,61.51825200405506,49.544171533030315,61.03752327795253,57.70071003266712,59.99648752773188,54.21160978281325,59.626556943593734,63.1,50.02794162241375,63.76461942506962,49.04240100602787,49.726108763032286,51.712911624295934,52.58642416280017
2020-08-01,52.09994294757681,54.77247729548546,55.2,49.23550760922611,56.35174733411591,55.65314804022004,63.63337170513519,46.7,54.62818246811305,54.610369866133816,59.1320609328504,49.55419625596692,53.966657615256075,53.79941965985231,62.5,49.252924334380225,60.52965340591357,60.75538409715586,48.73519032670629,61.047148045173,57.53253962482701,59.548347252425984,53.67162689147389,59.08594591486166,62.8,48.777740334827456,63.74844907505056,49.01676882494285,50.3727882783884,51.8636355373069,51.61469775975946
2020-09-01,53.91964421158374,54.7687525225306,54.3,50.25480132252383,56.27587366705796,55.65661655981784,65.13333339270874,45.7,56.92888285374999,58.39295169440428,58.91244265299528,49.60648644316858,55.16664605070281,55.377214473315036,60.8,50.50128047588985,60.54857766749962,63.376542704574,48.45553108165832,61.037676564721274,57.83673011486853,59.96660435180985,55.90083392740591,61.3848783836627,60.5,51.425749453661425,65.03634797190749,48.74375043645314,49.50492495238099,52.69521075910956,52.10563354490342
2020-10-01,54.038107073472005,54.78906499730529,55.5,50.13994223779557,56.58793683352898,55.65705039421967,64.93334315569838,45.5,57.23273947044329,58.68701376864847,59.3287098570967,49.65616212101015,55.36675390563377,56.36232284158983,62.2,49.77208883226494,60.58717723077465,64.12113553698921,47.680434941696376,61.048299799074066,58.115914887300086,59.885118151989786,55.930003416032015,61.955067513301735,63.7,52.73400877454982,65.38559929014504,48.825875357891576,49.64928048761905,52.516189475503616,51.67903667030658
2020-11-01,54.68580528437801,54.819174347332236,55.8,51.07751681235085,56.893968416764494,55.66147989027747,65.90003867268919,44.8,57.59072256607232,59.33393528828047,59.71009689996769,49.698354014959634,55.80015490554054,57.25402249550788,62.5,49.409303335217736,60.65107482462043,64.7007510889151,47.56599809051829,61.064816801083325,58.35209531434806,59.62065099399553,55.37027282562436,62.381098905269404,64.1,53.827985725732425,66.48685119599868,48.9832177934711,49.68681292678095,53.776919128581,52.3003991124192
2020-12-01,54.820066399074086,54.85298260385891,55.9,49.82870733215774,57.246984208382244,55.65986509137469,66.20000054189886,44.8,57.645148229754234,58.99035017081004,60.067067829977375,49.71843631421165,55.60002196261798,57.77065353905904,62.6,49.77305256079959,60.752499586897,64.55248756281068,47.43005322469398,61.07916863307249,58.57959243890453,59.57246856661443,55.204035847844,62.6921385721168,64.7,54.44310785878443,66.59031419592583,49.058238590646305,49.99257136096305,53.13105587576063,51.5449254122044
2021-01-01,54.22886865938476,54.888452777820326,56.0,50.63416112667971,57.37349210419112,55.62226644046094,65.10001221120856,44.1,57.4976760489303,58.2996170813937,60.46694748098416,49.56751449850107,54.34991199555704,57.80083076514352,61.150000000000006,49.667433443729266,60.867824615814214,64.21140959308487,46.71113365124132,61.09437694674176,58.17649025356744,59.524139671131046,54.114342862947026,62.41776346099998,64.5,53.09565172628849,66.19448167744399,49.191755644329966,49.85006855385039,51.31674471910304,50.787358725844875
2021-02-01,54.57490379312492,54.87156825004212,53.1,49.84858878117814,56.08674605209556,55.62704377605633,65.03329284098203,43.3,58.09497097377392,58.35448068261431,59.75686323668891,49.63913877357601,54.56664783150066,57.655789521672986,59.7,50.22239052369623,60.81407689270722,64.29281122697209,47.148757186109776,61.08243317727434,58.44613259271125,59.47582992347194,55.06762674191456,62.34837449477295,60.8,53.206230925099135,66.43754223563552,48.83323962835057,48.333017824001104,50.92376277520181,50.984645909823975
2021-03-01,53.76236079401304,54.9008525675417,55.9,48.90638362212021,57.04337302604778,55.628773338295765,64.7999848265475,43.9,56.731599857967886,57.07829215098682,60.33980426568223,49.6921818348972,55.100014656687634,56.45063886229635,62.5,49.38808236884739,60.93209151021772,63.297908614251675,47.895812249823344,61.098608845501595,58.62706077046056,59.427724065114724,53.85501275666786,61.24049814577485,64.0,51.438255237657934,66.03649354935818,49.115256495247465,49.344584634240285,50.23397898848855,50.61096852776813
2021-04-01,52.16532054148317,54.92284404186628,55.5,48.08565909213945,57.271686513023894,55.63548560491281,64.19996588293691,44.1,54.99800876277213,56.28546799161071,60.387862985977556,49.752572743152335,52.9334546332159,54.96355656426124,62.0,49.59156502432684,60.99984510450248,61.43931164486872,48.41815419375338,61.11062275704658,58.812566185550025,59.3792134660499,53.780674591548234,60.012521944293745,63.8,50.261222701722495,65.06900884400638,49.220510326102925,49.459592004902476,50.48405985099677,51.42486394907852
2021-05-01,54.06095951328665,54.94661560144761,56.3,49.49685619967099,57.13584325651195,55.63513074886368,65.9666707585565,44.0,55.56721322096402,58.51919214561035,60.211504090184285,49.82494410599472,55.0667578277217,56.7339105116838,62.1,51.14746619399124,61.0628559471873,62.580639394973026,50.94931545008217,61.11951652947611,58.905550301018025,59.180530932844476,57.719916561438126,61.60203583026034,64.2,51.426366435305056,65.07678849868365,49.4508184674044,49.56349392127464,53.40838758564145,54.12395294281429
2021-06-01,54.782608378701404,54.96414944543314,56.3,50.283191968668945,56.917921628255975,55.64177944137504,66.26666482510822,44.3,57.25108008679624,59.83269732976628,59.968052863128996,49.92369690069498,56.16668893442075,57.65569881746301,61.8,51.812979222085616,61.09345603088419,64.29712444559824,51.03161845424047,61.12332136418135,59.0722182287737,59.43221419399636,59.303737491477044,62.56758184825111,64.0,52.47649551275258,66.02426047693025,49.63967114327161,50.33050841953141,53.98849352775169,54.71701374405661
2021-07-01,55.10729246001277,54.9855079509788,56.0,50.972543583061345,57.15896081412799,55.64336164696129,65.29998845494015,44.3,56.675152401340426,58.40033457403334,60.367637004190286,50.02251205566022,56.200051559783084,56.97330068855509,61.9,51.31038629016401,61.156914108722304,64.1994743332356,50.16764943368078,61.13108815053953,58.98288585386801,59.41717718290429,58.56405856067457,61.87376430251598,63.93,51.68509706522704,66.101524342747,49.84853033748272,50.75193218907816,53.183084667137464,53.62243736905134
